,Company,Rating,Job_Title,Location,Salary,Job_Description,URL
234,McAfee,3.6,Big Data Engineer,"San Jose, CA",92K-168K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=823&ao=63399&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_88a39a91&cb=1604569180179&jobListingId=3709750850
235,Cepheid,3.5,"Data Scientist, US Customer Care Operations","Sunnyvale, CA",93K-151K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=824&ao=1091461&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_fb539b8d&cb=1604569180179&jobListingId=3724522950
236,Kelly,3.4,Senior Quality Control Analytical Scientist,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=825&ao=1044072&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_2630a53c&cb=1604569180180&jobListingId=3730210796
237,Facebook,4.5,"Data Scientist, Product Analytics - Ads Ranking","Sunnyvale, CA",119K-189K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=826&ao=1091461&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_9d51a55f&cb=1604569180181&jobListingId=3663406317
238,Roblox,4.5,Data Scientist - Fraud,"San Mateo, CA",119K-187K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=827&ao=8095&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_34f24978&cb=1604569180181&jobListingId=3729509356
239,Aisera,4.4,Machine Learning Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=828&ao=66506&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b6fb9aa6&cb=1604569180182&jobListingId=3546798277
240,"nexus IT group, Inc.",,NLP Data Scientist,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=829&ao=60007&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_670731d1&cb=1604569180182&jobListingId=3683214954
241,Intuit,4.2,Staff Machine Learning Engineer,"Mountain View, CA",139K-242K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=830&ao=1044074&s=58&guid=0000017597c6a65bb2f01dac0486bb4a&src=GD_JOB_AD&t=SR&vt=w&cs=1_01c8c1b6&cb=1604569180183&jobListingId=3723481642
242,Walmart,3.3,"(USA) Data Scientist eCommerce, Partner Payments – Marketplace","Sunnyvale, CA",86K-143K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=901&ao=1091461&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_a7fc9bfa&cb=1604569189020&jobListingId=3733741882
243,Samsung Research America,3.8,"AI Research Engineer/ Scientist, Knox Innovation","Mountain View, CA",108K-169K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=902&ao=1139388&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_81da9366&cb=1604569189020&jobListingId=3731264817
244,Intuit,4.3,Senior Data Scientist,"Mountain View, CA",101K-167K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=903&ao=1053778&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_2dfcfa59&cb=1604569189020&jobListingId=3720486555
245,Future International Education Center LLC.,,Data Scientist,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=904&ao=1091454&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b9943548&cb=1604569189021&jobListingId=3697908618
246,Zoom Video Communications,4.8,Sr. Data Scientist - Machine Learning,"San Jose, CA",122K-195K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=905&ao=242900&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c39b9d9&cb=1604569189022&jobListingId=3711183119
247,Robinhood,4.8,"Staff Software Engineer, Data (Growth Team)","Menlo Park, CA",134K-255K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=906&ao=980180&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_51ad732b&cb=1604569189023&jobListingId=3724368986
248,SKT Lab,,Data Scientist and AI Engineer,"Santa Clara, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=907&ao=4120&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6d06977c&cb=1604569189029&jobListingId=3660546123
249,Baidu USA,4.2,NLP and Machine Learning Research Scientist,"Sunnyvale, CA",94K-162K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=908&ao=921511&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_72b14a71&cb=1604569189026&jobListingId=3716250887
250,Color,3.3,"Senior Data Scientist, Health Research","Burlingame, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=909&ao=148364&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5dd0f8e&cb=1604569189026&jobListingId=3694490112
251,MOLOCO,4.3,Senior Data Scientist - Redwood City,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=910&ao=8095&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_83ff7f2e&cb=1604569189027&jobListingId=3640402262
252,Ericsson-Worldwide,3.8,Data Scientist,"Santa Clara, CA",102K-162K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=911&ao=37049&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_4b463f0c&cb=1604569189028&jobListingId=3731817207
253,Roblox,4.5,"Data Scientist, International Growth","San Mateo, CA",107K-169K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=912&ao=8095&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_346273e0&cb=1604569189028&jobListingId=3710739597
254,Thermo Fisher Scientific,3.6,Data Scientist III - Clinical Product Support,"South San Francisco, CA",87K-138K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=913&ao=474920&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_a549a055&cb=1604569189028&jobListingId=3731563001
255,Color,3.3,"Data Analyst, Healthcare Analytics","Burlingame, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=914&ao=148364&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_9bd25a55&cb=1604569189029&jobListingId=3672798529
256,GENENTECH,4.1,"Clinical Scientist Associate, Rare Blood Disorders","South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=915&ao=1044074&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_93e9b982&cb=1604569189029&jobListingId=3697423392
257,Intuit,4.3,Senior Data Engineer,"Mountain View, CA",107K-192K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=916&ao=1044074&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_ecaae559&cb=1604569189031&jobListingId=3723481728
258,Activision Publishing,3,"Data Scientist, Live Ops","Foster City, CA",74K-125K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=917&ao=259320&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ec93bc1&cb=1604569189031&jobListingId=3732266773
259,"Operating Company ACTIVISION PUBLISHING, INC",3,Data Scientist,"Foster City, CA",74K-125K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=918&ao=1091461&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_51d654ed&cb=1604569189031&jobListingId=3732782586
260,Facebook,4.5,Quantitative Researcher (Health Impact),"Menlo Park, CA",86K-170K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=919&ao=1139205&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_39b19878&cb=1604569189032&jobListingId=3680016869
261,SurveyMonkey,4.7,Sr. Machine Learning Engineer,"San Mateo, CA",143K-236K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=920&ao=1135911&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_d0344a0e&cb=1604569189032&jobListingId=3702800460
262,Acara Solutions,3,Data Engineer,"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=921&ao=1044072&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_89b3dd48&cb=1604569189033&jobListingId=3710278434
263,QuestBridge,3.9,"Data Analyst, Data Science & Analytics","Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=922&ao=8095&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7432a597&cb=1604569189033&jobListingId=3693471954
264,Accuray,3.6,Senior Business Intelligence Analyst,"Sunnyvale, CA",86K-167K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=923&ao=1124046&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_2c86d873&cb=1604569189034&jobListingId=3645494334
265,Fanatics,3.5,Sr. Manager / Principal Engineer - Big Data,"San Mateo, CA",210K-361K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=924&ao=1042994&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_54bfb2ea&cb=1604569189035&jobListingId=3637912515
266,Logitech,4.1,Logitech G - Data Analyst,"Newark, CA",51K-94K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=925&ao=1091461&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_f2adb83e&cb=1604569189035&jobListingId=3663445979
267,Thermo Fisher Scientific,3.6,Data Scientist,"South San Francisco, CA",74K-119K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=926&ao=133879&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_0e649aab&cb=1604569189035&jobListingId=3731436515
268,Amazon,3.9,Machine Learning Scientist,"Sunnyvale, CA",123K-191K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=927&ao=133043&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_22b788fa&cb=1604569189036&jobListingId=3567389424
269,TikTok,4.1,"Machine Learning Engineer, Comment","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=928&ao=1091461&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_23894c2d&cb=1604569189036&jobListingId=3732981287
270,TikTok,4.1,"Machine Learning Engineer, TikTok Creator Marketplace","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=929&ao=1091461&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_2bf3013b&cb=1604569189037&jobListingId=3732981032
271,CareDx,2.4,Staff Scientist/Sr. Staff Scientist,"Brisbane, CA",95K-191K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=930&ao=956372&s=58&guid=0000017597c6c778936fd749f0969e37&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b19812a&cb=1604569189038&jobListingId=3361417737
272,TikTok,4.1,"Machine Learning Engineer, Comment","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1001&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_0df0cdf6&cb=1604569198027&jobListingId=3732981287
273,CareDx,2.4,Staff Scientist/Sr. Staff Scientist,"Brisbane, CA",95K-191K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1002&ao=956372&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_306b7998&cb=1604569198028&jobListingId=3361417737
274,TikTok,4.1,"Machine Learning Engineer, TikTok Creator Marketplace","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1003&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_aa970b5b&cb=1604569198030&jobListingId=3732981032
275,Facebook,4.5,"Data Scientist, Analytics - Messaging Search","Menlo Park, CA",119K-188K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1004&ao=1139205&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_8959dad4&cb=1604569198032&jobListingId=3680018355
276,Splunk,4.1,ML / Data Science Intern,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1005&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f83f92f&cb=1604569198034&jobListingId=3681158651
277,Airtime,4.3,Senior Data Scientist,"Palo Alto, CA",148K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1006&ao=8095&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6b15d8ee&cb=1604569198035&jobListingId=3501421526
278,Thermo Fisher Scientific,3.6,"R&D Viral Molecular Biologist, Staff Scientist","Pleasanton, CA",75K-154K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1007&ao=474920&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_21f8d818&cb=1604569198035&jobListingId=3731562803
279,Amazon,3.9,Senior Data Scientist - Sponsored Products,"Palo Alto, CA",134K-215K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1008&ao=133043&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_3a558303&cb=1604569198035&jobListingId=3726586312
280,"Central Business Solutions, Inc",3,Data Scientist,"Pleasanton, CA",72K-117K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1009&ao=4321&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0e176ab3&cb=1604569198035&jobListingId=3690693627
281,GENENTECH,4.1,Scientist - cryoEM,"South San Francisco, CA",108K-199K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1010&ao=1044074&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_ec7cc6a2&cb=1604569198036&jobListingId=3697462595
282,ServiceNow,4,Staff Data Scientist,"Santa Clara, CA",171K-273K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1011&ao=37049&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_b15a5256&cb=1604569198036&jobListingId=3733196510
283,Lam Research,3.9,Data Scientist 4,"Fremont, CA",116K-181K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1012&ao=826216&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_f6a2acfa&cb=1604569198037&jobListingId=3709158030
284,Facebook,4.5,"Data Scientist, Product Analytics - Spark AR","Menlo Park, CA",126K-198K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1013&ao=132920&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_585d8a64&cb=1604569198038&jobListingId=3683119030
285,Applied Materials Inc.,3.9,People Analytics Data Scientist,"Santa Clara, CA",88K-140K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1014&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_cc272637&cb=1604569198039&jobListingId=3663400536
286,Albertsons Companies,3.4,Data Scientist,"Pleasanton, CA",76K-122K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1015&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b61df2b&cb=1604569198039&jobListingId=3681634291
287,Facebook,4.5,"Data Scientist, Analytics - Family Ecosystems","Menlo Park, CA",126K-198K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1016&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_2160d086&cb=1604569198039&jobListingId=3688585766
288,"Central Business Solutions, Inc",4,Data Scientist II,"Santa Clara, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1017&ao=4321&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_84dec9b7&cb=1604569198039&jobListingId=3712230203
289,TikTok,4.1,Data Analyst - Security,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1018&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_2822032d&cb=1604569198041&jobListingId=3663411302
290,Matroid,5,Computer Vision Scientist,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1019&ao=46442&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_288ca570&cb=1604569198042&jobListingId=3728279711
291,Apple,4.2,"Senior Data Scientist, Ad Platforms-Data Insights","Santa Clara, CA",141K-225K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1020&ao=4120&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_b515ff2c&cb=1604569198042&jobListingId=3700280465
292,Seagen,4.1,Senior/Principal Scientist Bioinformatics/Computational Biology,"South San Francisco, CA",134K-262K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1021&ao=1138187&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_e8355e36&cb=1604569198042&jobListingId=3597963452
293,Advanced Cell Diagnostics,4,Data Scientist,"Newark, CA",72K-117K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1022&ao=209461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_9c2eec10&cb=1604569198042&jobListingId=3709555399
294,Emendata,,Senior Data Analyst,"Burlingame, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1023&ao=1086631&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_303699b7&cb=1604569198046&jobListingId=3662094964
295,Deepcell,,Research Data Scientist,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1024&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_8db4e7d8&cb=1604569198043&jobListingId=3727348693
296,EA Team,,Data Scientist with Machine Learning (ML),"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1025&ao=558370&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_68c44e9d&cb=1604569198043&jobListingId=3712289573
297,a16z,,"Data Scientist, Crypto","Menlo Park, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1026&ao=8095&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b239afe4&cb=1604569198045&jobListingId=3673661319
298,Epicor Software,4.2,Data Scientist Associate,"Dublin, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1027&ao=4120&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_fad3dc4d&cb=1604569198045&jobListingId=3727321985
299,Nauto,3.6,Senior Data Scientist - Risk,"Palo Alto, CA",137K-218K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1028&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_17bff5fc&cb=1604569198045&jobListingId=3663429687
300,Apple,4.2,"Data Scientist, Payments Data Science, WPC Analytics - SCV","Santa Clara, CA",115K-183K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1029&ao=191997&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_7c7a033c&cb=1604569198046&jobListingId=3658040257
301,SLAC National Accelerator Laboratory,3.6,Project Scientist - Data Analytics,"Menlo Park, CA",106K-169K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1030&ao=1091461&s=58&guid=0000017597c6ec3793cd166303995337&src=GD_JOB_AD&t=SR&vt=w&cs=1_cbadf681&cb=1604569198046&jobListingId=3663422814
302,Siemens Healthineers,4,Data Scientist- Ultrasound Advanced Development and AI,"Mountain View, CA",106K-167K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1101&ao=287968&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_45fdd073&cb=1604569206310&jobListingId=3727544202
303,Facebook,4.5,"Data Scientist, SBG","Menlo Park, CA",108K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1102&ao=1139178&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_a60026be&cb=1604569206310&jobListingId=3680017327
304,Facebook,4.5,"UX Quantitative Researcher, Messenger","Menlo Park, CA",75K-150K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1103&ao=1139205&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_779e53a0&cb=1604569206310&jobListingId=3728349597
305,Walmart,3.3,"Senior Data Scientist, eComm","Sunnyvale, CA",122K-190K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1104&ao=133042&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_2002c4ed&cb=1604569206312&jobListingId=3651458260
306,Teladoc Health,4,Senior Data Scientist,"Mountain View, CA",122K-194K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1105&ao=1091461&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_236fef3f&cb=1604569206312&jobListingId=3733775497
307,Zipongo,4,Data Analyst,"San Jose, CA",103K-155K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1106&ao=85944&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_39cda252&cb=1604569206314&jobListingId=3549972531
308,Lorven Technologies Inc,4.2,Data Scientist,"Santa Clara, CA",112K-133K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1107&ao=558370&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_9b3f729f&cb=1604569206315&jobListingId=3434200809
309,CooTek,4.2,"Principal Applied Scientist, Data Science","Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1108&ao=1091461&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_91657286&cb=1604569206316&jobListingId=3721707829
310,Facebook,4.5,"Applied Research Scientist, Computer Vision","Menlo Park, CA",133K-239K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1109&ao=1139205&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_eedeac21&cb=1604569206317&jobListingId=3698865243
311,Entefy,4.3,Senior Data Engineer,"Palo Alto, CA",108K-127K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1110&ao=1064083&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_ff59f929&cb=1604569206317&jobListingId=2622599397
312,INFISWIFT TECHNOLOGIES,,Data Scientist / Machine Learning Engineer,"Milpitas, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1111&ao=1091461&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_7d6e23d7&cb=1604569206317&jobListingId=3688126276
313,McAfee,3.6,Big Data Engineer,"San Jose, CA",92K-168K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1112&ao=63399&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_137d9683&cb=1604569206317&jobListingId=3709750850
314,Cepheid,3.5,"Data Scientist, US Customer Care Operations","Sunnyvale, CA",93K-151K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1113&ao=1091461&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d5e7dace&cb=1604569206317&jobListingId=3724522950
315,JD.com,3.6,Senior Data Scientist - Business Growth,"Mountain View, CA",126K-203K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1114&ao=8095&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_4315f71d&cb=1604569206318&jobListingId=3666886815
316,Proofpoint,3.8,Staff Data Scientist,"Sunnyvale, CA",123K-196K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1115&ao=1091461&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c8bf600&cb=1604569206318&jobListingId=3663630083
317,3T Biosciences,,Data Scientist – Target Discovery,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1116&ao=1091461&s=58&guid=0000017597c70c7890461529e71c9e2f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d64149d3&cb=1604569206322&jobListingId=3710415622
